paper_name,robotwin2_hard_randomized_success_rate,robotwin2_hard_randomized_50clean_500rand_prev_sota_success_rate,delta_robotwin2_hard_randomized_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
A Pragmatic VLA Foundation Model,86.68,76.76,0.09919999999999995,0.7676,0.0006,0.0158,certainly_significant
ABot-M0: VLA Foundation Model for Robotic Manipulation with Action Manifold Learning,85.08,72.84,0.12239999999999995,0.7284,0.0006,0.017,certainly_significant
AIM: Intent-Aware Unified world action Modeling with Spatial Value Maps,92.1,91.8,0.0030000000000000027,0.918,0.0006,0.0092,possibly_significant
Being-H0.7: A Latent World-Action Model from Egocentric Videos,89.6,91.8,-0.02200000000000002,0.918,0.0006,0.0092,negative
Causal World Modeling for Robot Control,91.55,87.0,0.045499999999999985,0.87,0.0006,0.0118,certainly_significant
DexWorldModel: Causal Latent World Modeling towards Automated Learning of Embodied Tasks,94.0,91.55,0.024499999999999966,0.9156,0.0006,0.0094,certainly_significant
Fast-WAM: Do World Action Models Need Test-time Future Imagination?,91.78,91.5,0.0028000000000000247,0.915,0.0006,0.0094,possibly_significant
GigaWorld-Policy: An Efficient Action-Centered World--Action Model,85.0,87.0,-0.020000000000000018,0.87,0.0006,0.0118,negative
HoloBrain-0 Technical Report,92.3,87.02,0.05279999999999996,0.8702,0.0006,0.0118,certainly_significant
"InternVLA-A1: Unifying Understanding, Generation and Action for Robotic Manipulation",89.6,87.0,0.025999999999999912,0.87,0.0006,0.0118,certainly_significant
JoyAI-RA 0.1: A Foundation Model for Robotic Autonomy,89.28,87.02,0.022600000000000064,0.8702,0.0006,0.0118,certainly_significant
MotuBrain: An Advanced World Action Model for Robot Control,96.1,91.8,0.04300000000000004,0.918,0.0006,0.0092,certainly_significant
Motus: A Unified Latent Action World Model,87.02,72.84,0.14179999999999993,0.7284,0.0006,0.017,certainly_significant
Privileged Foresight Distillation: Zero-Cost Future Correction for World Action Models,92.69,91.78,0.009099999999999886,0.9178,0.0006,0.0094,possibly_significant
STARRY: Spatial-Temporal Action-Centric World Modeling for Robotic Manipulation,93.3,91.55,0.01749999999999996,0.9156,0.0006,0.0094,certainly_significant
StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems,88.3,76.8,0.11499999999999999,0.768,0.0006,0.0158,certainly_significant
Unified 4D World Action Modeling from Video Priors with Asynchronous Denoising,90.7,87.0,0.03700000000000003,0.87,0.0006,0.0118,certainly_significant
Universal Pose Pretraining for Generalizable Vision-Language-Action Policies,79.1,76.16,0.02939999999999998,0.7616,0.0006,0.016,certainly_significant
When to Trust Imagination: Adaptive Action Execution for World Action Models,88.2,85.66,0.02540000000000009,0.8566,0.0006,0.0124,certainly_significant
