paper_name,libero_goal,libero_goal_prev_sota,delta_libero_goal,P_A,Delta_necessary,Delta_sufficient,delta_bin
A Probabilistic Model for Skill Acquisition with Switching Latent Feedback Controllers,83.0,69.0,0.14,0.69,0.006,0.056,certainly_significant
Depth Helps: Improving Pre-trained RGB-based Policy with Depth Information Injection,66.4,64.8,0.016000000000000014,0.648,0.006,0.06,possibly_significant
Diffusion Transformer Policy,85.4,84.6,0.008000000000000118,0.846,0.006,0.04,possibly_significant
GRAPE: Generalizing Robot Policy via Preference Alignment,83.1,82.9,0.0019999999999998908,0.83,0.006,0.042,not_significant
MaIL: Improving Imitation Learning with Mamba,56.5,51.8,0.04699999999999993,0.518,0.006,0.072,possibly_significant
Multimodal Diffusion Transformer: Learning Versatile Behavior from Multimodal Goals,73.5,76.3,-0.028000000000000025,0.764,0.006,0.05,negative
OpenVLA: An Open-Source Vision-Language-Action Model,79.2,84.6,-0.05399999999999994,0.846,0.006,0.04,negative
Quantization-Aware Imitation-Learning for Resource-Efficient Robotic Control,76.4,76.6,-0.0019999999999998908,0.766,0.006,0.05,negative
Robo-MUTUAL: Robotic Multimodal Task Specification via Unimodal Learning,62.9,5.0,0.579,0.05,0.006,0.028,certainly_significant
Task-agnostic Lifelong Robot Learning with Retrieval-based Weighted Local Adaptation,62.33,52.33,0.09999999999999998,0.524,0.006,0.07,certainly_significant
TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,75.1,70.4,0.04699999999999982,0.704,0.006,0.056,possibly_significant
3D Dynamics-Aware Manipulation: Endowing Manipulation Policies with 3D Foresight,94.8,91.6,0.03200000000000003,0.916,0.006,0.028,certainly_significant
4D-VLA: Spatiotemporal Vision-Language-Action Pretraining with Cross-Scene Calibration,90.9,84.6,0.06300000000000006,0.846,0.006,0.04,certainly_significant
ActDistill: General Action-Guided Self-Derived Distillation for Efficient Vision-Language-Action Models,72.4,76.4,-0.039999999999999925,0.764,0.006,0.05,negative
Action-aware Dynamic Pruning for Efficient Vision-Language-Action Manipulation,96.4,96.6,-0.0019999999999998908,0.966,0.006,0.018,negative
ActionSink: Toward Precise Robot Manipulation with Dynamic Integration of Action Flow,80.0,77.83,0.021700000000000053,0.778,0.006,0.048,possibly_significant
AsyncVLA: Asynchronous Flow Matching for Vision-Language-Action Models,98.6,98.2,0.0040000000000000036,0.982,0.006,0.012,not_significant
Atomic Action Slicing: Planner-Aligned Options for Generalist VLA Agents,95.3,94.2,0.010999999999999899,0.942,0.006,0.024,possibly_significant
Audio-VLA: Adding Contact Audio Perception to Vision-Language-Action Model for Robotic Manipulation,98.2,97.9,0.0029999999999998916,0.98,0.006,0.014,not_significant
BadVLA: Towards Backdoor Attacks on Vision-Language-Action Models via Objective-Decoupled Optimization,95.0,98.3,-0.03300000000000003,0.984,0.006,0.012,negative
Balancing Signal and Variance: Adaptive Offline RL Post-Training for VLA Flow Models,94.9,94.4,0.0050000000000000044,0.944,0.006,0.024,not_significant
Beyond Human Demonstrations: Diffusion-Based Reinforcement Learning to Generate Data for VLA Training,83.8,83.2,0.005999999999999894,0.832,0.006,0.042,not_significant
BitVLA: 1-bit Vision-Language-Action Models for Robotics Manipulation,95.4,97.9,-0.025000000000000022,0.98,0.006,0.014,negative
Bridging Scale Discrepancies in Robotic Control via Language-Based Action Representations,82.2,84.6,-0.02399999999999991,0.846,0.006,0.04,negative
CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision,94.2,96.2,-0.020000000000000018,0.962,0.006,0.018,negative
CoA-VLA: Improving Vision-Language-Action Models via Visual-Textual Chain-of-Affordance,85.8,84.6,0.01200000000000001,0.846,0.006,0.04,possibly_significant
CogVLA: Cognition-Aligned Vision-Language-Action Model via Instruction-Driven Routing &amp; Sparsification,96.6,97.9,-0.013000000000000123,0.98,0.006,0.014,negative
Compressor-VLA: Instruction-Guided Visual Token Compression for Efficient Robotic Manipulation,96.4,97.9,-0.015000000000000013,0.98,0.006,0.014,negative
Conditioning Matters: Training Diffusion Policies is Faster Than You Think,93.8,97.9,-0.04100000000000015,0.98,0.006,0.014,negative
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,87.6,84.6,0.029999999999999916,0.846,0.006,0.04,possibly_significant
CronusVLA: Towards Efficient and Robust Manipulation via Multi-Frame Vision-Language-Action Modeling,96.9,97.9,-0.010000000000000009,0.98,0.006,0.014,negative
Cross-Platform Scaling of Vision-Language-Action Models from Edge to Cloud GPUs,96.0,96.2,-0.002000000000000113,0.962,0.006,0.018,negative
D2E: Scaling Vision-Action Pretraining on Desktop Data for Transfer to Embodied AI,98.6,97.9,0.006999999999999895,0.98,0.006,0.014,possibly_significant
Decoupled Action Expert: Confining Task Knowledge to the Conditioning Pathway,82.0,78.3,0.03700000000000003,0.782,0.006,0.048,possibly_significant
DeepThinkVLA: Enhancing Reasoning Capability of Vision-Language-Action Models,96.4,95.8,0.006000000000000116,0.958,0.006,0.02,possibly_significant
Dejavu: Towards Experience Feedback Learning for Embodied Intelligence,97.6,96.6,0.010000000000000009,0.966,0.006,0.018,possibly_significant
DepthVLA: Enhancing Vision-Language-Action Models with Depth-Aware Spatial Reasoning,95.8,95.8,0.0,0.958,0.006,0.02,not_significant
DiG-Flow: Discrepancy-Guided Flow Matching for Robust VLA Models,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,97.4,96.2,0.01200000000000001,0.962,0.006,0.018,possibly_significant
Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,93.2,84.6,0.08600000000000008,0.846,0.006,0.04,certainly_significant
Don't Run with Scissors: Pruning Breaks VLA Models but They Can Be Recovered,47.0,81.0,-0.3400000000000001,0.81,0.006,0.044,negative
Dream-VL & Dream-VLA: Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone,97.2,97.9,-0.007000000000000117,0.98,0.006,0.014,negative
dVLA: Diffusion Vision-Language-Action Model with Multimodal Chain-of-Thought,98.2,97.4,0.007999999999999896,0.974,0.006,0.016,possibly_significant
E0: Enhancing Generalization and Fine-Grained Control in VLA Models via Tweedie Discrete Diffusion,95.0,97.2,-0.02200000000000002,0.972,0.006,0.016,negative
"End-to-end Listen, Look, Speak and Act",86.4,88.6,-0.021999999999999797,0.886,0.006,0.034,negative
EnerVerse: Envisioning Embodied Future Space for Robotics Manipulation,85.0,84.6,0.0040000000000000036,0.846,0.006,0.04,not_significant
Evo-1: Lightweight Vision-Language-Action Model with Preserved Semantic Alignment,96.3,95.8,0.0050000000000000044,0.958,0.006,0.02,not_significant
EVOLVE-VLA: Test-Time Training from Environment Feedback for Vision-Language-Action Models,95.8,95.8,0.0,0.958,0.006,0.02,not_significant
ExpReS-VLA: Specializing Vision-Language-Action Models Through Experience Replay and Retrieval,95.4,96.3,-0.008999999999999897,0.964,0.006,0.018,negative
Fast ECoT: Efficient Embodied Chain-of-Thought via Thoughts Reuse,83.0,84.0,-0.010000000000000009,0.84,0.006,0.04,negative
FASTer: Toward Efficient Autoregressive Vision Language Action Modeling via Neural Action Tokenization,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,97.9,95.8,0.02100000000000013,0.958,0.006,0.02,certainly_significant
FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,96.1,97.9,-0.018000000000000127,0.98,0.006,0.014,negative
Focusing on What Matters: Object-Agent-centric Tokenization for Vision Language Action models,82.1,84.6,-0.025000000000000022,0.846,0.006,0.04,negative
FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency,96.0,97.8,-0.018000000000000016,0.978,0.006,0.014,negative
From Grounding to Manipulation: Case Studies of Foundation Model Integration in Embodied Robotic Systems,89.4,95.8,-0.06399999999999995,0.958,0.006,0.02,negative
GeoAware-VLA: Implicit Geometry Aware Vision-Language-Action Model,99.0,98.0,0.010000000000000009,0.98,0.006,0.014,possibly_significant
GeoPredict: Leveraging Predictive Kinematics and 3D Gaussian Geometry for Precise VLA Manipulation,95.7,95.8,-0.0009999999999998899,0.958,0.006,0.02,negative
Goal-oriented Backdoor Attack against Vision-Language-Action Models via Physical Objects,95.5,95.8,-0.0030000000000000027,0.958,0.006,0.02,negative
"HiF-VLA: Hindsight, Insight and Foresight through Motion Representation for Vision-Language-Action Models",97.4,97.9,-0.0050000000000000044,0.98,0.006,0.014,negative
HiMoE-VLA: Hierarchical Mixture-of-Experts for Generalist Vision-Language-Action Policies,98.6,97.9,0.006999999999999895,0.98,0.006,0.014,possibly_significant
How Do VLAs Effectively Inherit from VLMs?,89.0,96.0,-0.06999999999999995,0.96,0.006,0.02,negative
Hybrid Training for Vision-Language-Action Models,96.2,91.4,0.04800000000000004,0.914,0.006,0.03,certainly_significant
HyperVLA: Efficient Inference in Vision-Language-Action Models via Hypernetworks,92.0,85.0,0.07000000000000006,0.85,0.006,0.038,certainly_significant
iFlyBot-VLA Technical Report,93.0,95.0,-0.019999999999999907,0.95,0.006,0.022,negative
Interactive Post-Training for Vision-Language-Action Models,99.0,97.9,0.010999999999999899,0.98,0.006,0.014,possibly_significant
InternVLA-M1: A Spatially Guided Vision-Language-Action Framework for Generalist Robot Policy,93.8,95.8,-0.020000000000000018,0.958,0.006,0.02,negative
"Knowledge Insulating Vision-Language-Action Models: Train Fast, Run Fast, Generalize Better",95.6,97.9,-0.02300000000000013,0.98,0.006,0.014,negative
LatBot: Distilling Universal Latent Actions for Vision-Language-Action Models,98.6,98.0,0.006000000000000005,0.98,0.006,0.014,possibly_significant
Latent Action Pretraining Through World Modeling,96.0,98.0,-0.020000000000000018,0.98,0.006,0.014,negative
LoLA: Long Horizon Latent Action Learning for General Robot Manipulation,97.2,94.0,0.03200000000000003,0.94,0.006,0.024,certainly_significant
Mantis: A Versatile Vision-Language-Action Model with Disentangled Visual Foresight,94.4,95.8,-0.013999999999999901,0.958,0.006,0.02,negative
MAP-VLA: Memory-Augmented Prompting for Vision-Language-Action Model in Robotic Manipulation,95.4,91.5,0.039000000000000035,0.916,0.006,0.028,certainly_significant
MAPS: Preserving Vision-Language Representations via Module-Wise Proximity Scheduling for Better Vision-Language-Action Generalization,0.0,7.0,-0.07,0.07,0.006,0.032,negative
MemoryVLA: Perceptual-Cognitive Memory in Vision-Language-Action Models for Robotic Manipulation,96.4,95.8,0.006000000000000116,0.958,0.006,0.02,possibly_significant
MergeVLA: Cross-Skill Model Merging Toward a Generalist Vision-Language-Action Agent,91.8,98.2,-0.06400000000000006,0.982,0.006,0.012,negative
MetaVLA: Unified Meta Co-training For Efficient Embodied Adaption,78.7,98.0,-0.19299999999999995,0.98,0.006,0.014,negative
Mixture of Horizons in Action Chunking,98.8,98.8,0.0,0.988,0.006,0.01,not_significant
Multimodal Reinforcement Learning with Adaptive Verifier for AI Agents,87.8,89.6,-0.017999999999999905,0.896,0.006,0.032,negative
NORA: A Small Open-Sourced Generalist Vision Language Action Model for Embodied Tasks,89.4,79.2,0.10199999999999998,0.792,0.006,0.046,certainly_significant
PixelVLA: Advancing Pixel-level Understanding in Vision-Language-Action Model,85.8,87.6,-0.017999999999999905,0.876,0.006,0.036,negative
Reflection-Based Task Adaptation for Self-Improving VLA,85.2,88.6,-0.03399999999999992,0.886,0.006,0.034,negative
Reinforcement Fine-Tuning of Flow-Matching Policies for Vision-Language-Action Models,89.4,88.6,0.008000000000000118,0.886,0.006,0.034,possibly_significant
RESample: A Robust Data Augmentation Framework via Exploratory Sampling for Robotic Manipulation,91.4,91.2,0.0020000000000000018,0.912,0.006,0.03,not_significant
Rethinking Latent Redundancy in Behavior Cloning: An Information Bottleneck Approach for Robot Manipulation,83.83,76.17,0.07659999999999989,0.762,0.006,0.05,certainly_significant
RetoVLA: Reusing Register Tokens for Spatial Reasoning in Vision-Language-Action Models,80.4,80.4,0.0,0.804,0.006,0.044,not_significant
RLinf-VLA: A Unified and Efficient Framework for Reinforcement Learning of Vision-Language-Action Models,98.32,49.4,0.48919999999999997,0.494,0.006,0.072,certainly_significant
