paper_name,libero_object,libero_object_prev_sota,delta_libero_object,P_A,Delta_necessary,Delta_sufficient,delta_bin
Depth Helps: Improving Pre-trained RGB-based Policy with Depth Information Injection,78.6,86.2,-0.07600000000000007,0.862,0.006,0.038,negative
Diffusion Transformer Policy,96.3,92.5,0.03799999999999992,0.924,0.006,0.028,certainly_significant
GRAPE: Generalizing Robot Policy via Preference Alignment,92.1,88.6,0.03500000000000003,0.886,0.006,0.034,certainly_significant
MaIL: Improving Imitation Learning with Mamba,81.5,81.2,0.0029999999999998916,0.812,0.006,0.044,not_significant
Multimodal Diffusion Transformer: Learning Versatile Behavior from Multimodal Goals,87.5,72.0,0.15500000000000003,0.72,0.006,0.054,certainly_significant
OpenVLA: An Open-Source Vision-Language-Action Model,88.4,92.5,-0.041000000000000036,0.924,0.006,0.028,negative
Quantization-Aware Imitation-Learning for Resource-Efficient Robotic Control,83.6,83.8,-0.0020000000000000018,0.838,0.006,0.04,negative
Robo-MUTUAL: Robotic Multimodal Task Specification via Unimodal Learning,93.9,63.9,0.30000000000000004,0.64,0.006,0.062,certainly_significant
Task-agnostic Lifelong Robot Learning with Retrieval-based Weighted Local Adaptation,62.33,56.5,0.05830000000000002,0.564,0.006,0.068,possibly_significant
TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,85.2,83.8,0.014000000000000012,0.838,0.006,0.04,possibly_significant
3D Dynamics-Aware Manipulation: Endowing Manipulation Policies with 3D Foresight,98.0,94.8,0.03200000000000003,0.948,0.006,0.022,certainly_significant
4D-VLA: Spatiotemporal Vision-Language-Action Pretraining with Cross-Scene Calibration,95.2,92.5,0.027000000000000024,0.924,0.006,0.028,possibly_significant
ActDistill: General Action-Guided Self-Derived Distillation for Efficient Vision-Language-Action Models,85.8,86.6,-0.008000000000000007,0.866,0.006,0.036,negative
Action-aware Dynamic Pruning for Efficient Vision-Language-Action Manipulation,98.0,98.2,-0.0020000000000000018,0.982,0.006,0.012,negative
