paper_name,robocasa_rss24_success_rate,robocasa_rss24_prev_sota_success_rate,delta_robocasa_rss24_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
A Hierarchical Spatiotemporal Action Tokenizer for In-Context Imitation Learning in Robotics,59.0,53.0,0.05999999999999994,0.53,0.0025,0.04583333333333333,certainly_significant
Adaptive Action Chunking at Inference-time for Vision-Language-Action Models,62.0,61.2,0.008000000000000007,0.6116666666666667,0.0025,0.041666666666666664,possibly_significant
Being-H0.5: Scaling Human-Centric Robot Learning for Cross-Embodiment Generalization,53.9,42.4,0.11500000000000005,0.4241666666666667,0.0025,0.04583333333333333,certainly_significant
Being-H0.7: A Latent World-Action Model from Egocentric Videos,62.1,67.1,-0.04999999999999993,0.6708333333333333,0.0025,0.03833333333333333,negative
Conservative Offline Robot Policy Learning via Posterior-Transition Reweighting,55.6,54.2,0.014000000000000012,0.5416666666666666,0.0025,0.045,possibly_significant
Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,67.1,66.4,0.006999999999999895,0.6641666666666667,0.0025,0.03833333333333333,possibly_significant
Joint-Aligned Latent Action: Towards Scalable VLA Pretraining in the Wild,35.42,35.17,0.0025000000000000022,0.3516666666666667,0.0025,0.041666666666666664,possibly_significant
Latent Bridge: Feature Delta Prediction for Efficient Dual-System Vision-Language-Action Model Inference,63.16,66.22,-0.03060000000000007,0.6625,0.0025,0.03833333333333333,negative
Learning 3D Representations for Spatial Intelligence from Unposed Multi-View Images,45.5,39.3,0.062000000000000055,0.3933333333333333,0.0025,0.04416666666666667,certainly_significant
Pri4R: Learning World Dynamics for Vision-Language-Action Models with Privileged 4D Representation,46.3,52.9,-0.06600000000000006,0.5291666666666667,0.0025,0.04583333333333333,negative
"Rethinking Visual-Language-Action Model Scaling: Alignment, Mixture, and Regularization",54.7,45.1,0.09600000000000003,0.4508333333333333,0.0025,0.04666666666666667,certainly_significant
Robot-DIFT: Distilling Diffusion Features for Geometrically Consistent Visuomotor Control,49.0,38.0,0.10999999999999999,0.38,0.0025,0.043333333333333335,certainly_significant
Unified 4D World Action Modeling from Video Priors with Asynchronous Denoising,79.2,67.1,0.12100000000000011,0.6708333333333333,0.0025,0.03833333333333333,certainly_significant
World2Act: Latent Action Post-Training via Skill-Compositional World Models,72.6,70.5,0.02100000000000002,0.705,0.0025,0.035833333333333335,possibly_significant
Action Tokenizer Matters in In-Context Imitation Learning,53.0,48.9,0.041000000000000036,0.4891666666666667,0.0025,0.0475,possibly_significant
AnchorDream: Repurposing Video Diffusion for Embodiment-Aware Robot Data Synthesis,30.7,33.3,-0.025999999999999968,0.3333333333333333,0.0025,0.04083333333333333,negative
DiG-Flow: Discrepancy-Guided Flow Matching for Robust VLA Models,52.6,41.4,0.11200000000000004,0.4141666666666667,0.0025,0.045,certainly_significant
FLARE: Robot Learning with Implicit World Modeling,70.1,60.8,0.09299999999999997,0.6083333333333333,0.0025,0.041666666666666664,certainly_significant
GeoPredict: Leveraging Predictive Kinematics and 3D Gaussian Geometry for Precise VLA Manipulation,52.4,42.3,0.10100000000000003,0.42333333333333334,0.0025,0.04583333333333333,certainly_significant
GR00T N1: An Open Foundation Model for Generalist Humanoid Robots,49.6,43.2,0.06399999999999995,0.43166666666666664,0.0025,0.04583333333333333,certainly_significant
GWM: Towards Scalable Gaussian World Models for Robotic Manipulation,39.25,28.75,0.10500000000000004,0.2875,0.0025,0.0375,certainly_significant
Spatial-Aware VLA Pretraining through Visual-Physical Alignment from Human Videos,45.8,41.4,0.043999999999999984,0.4141666666666667,0.0025,0.045,possibly_significant
Towards Fusing Point Cloud and Visual Representations for Imitation Learning,50.5,28.8,0.21699999999999997,0.28833333333333333,0.0025,0.03833333333333333,certainly_significant
Verifier-free Test-Time Sampling for Vision Language Action Models,62.9,61.2,0.017000000000000015,0.6116666666666667,0.0025,0.041666666666666664,possibly_significant
Video Generators are Robot Policies,66.0,57.0,0.09000000000000008,0.57,0.0025,0.043333333333333335,certainly_significant
A Dual Process VLA: Efficient Robotic Manipulation Leveraging VLM,57.3,47.6,0.09699999999999992,0.47583333333333333,0.0025,0.04833333333333333,certainly_significant
RoboTron-Mani: All-in-One Multimodal Large Model for Robotic Manipulation,47.4,40.9,0.065,0.4091666666666667,0.0025,0.045,certainly_significant
RLDX-1 Technical Report,70.6,66.2,0.04399999999999993,0.6616666666666666,0.0025,0.03833333333333333,certainly_significant
Is the Future Compatible? Diagnosing Dynamic Consistency in World Action Models,68.0,67.4,0.006000000000000005,0.6741666666666667,0.0025,0.03833333333333333,possibly_significant
Being-H0: Vision-Language-Action Pretraining from Large-Scale Human Videos,23.8,21.0,0.028000000000000025,0.21,0.0025,0.0325,possibly_significant
