paper_name,calvin_abc_d_atc,calvin_abc_d_prev_sota_atc,delta_calvin_abc_d_atc,P_A,Delta_necessary,Delta_sufficient,delta_bin
AdaWorldPolicy: World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation,3.54,3.42,0.1200000000000001,3.42,0.003,0.2,possibly_significant
A Dual-System Vision-Language-Action Model for Rational Manipulation,3.53,3.35,0.17999999999999972,3.35,0.003,0.205,possibly_significant
AnchorRefine: Synergy-Manipulation Based on Trajectory Anchor and Residual Refinement for Vision-Language-Action Models,4.4,4.31,0.09000000000000075,4.31,0.003,0.13,possibly_significant
Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,2.68,3.22,-0.54,3.22,0.003,0.213,negative
AtomicVLA: Unlocking the Potential of Atomic Skill Learning in Robots,4.09,4.02,0.07000000000000028,4.02,0.003,0.157,possibly_significant
BagelVLA: Enhancing Long-Horizon Manipulation via Interleaved Vision-Language-Action Generation,4.405,4.33,0.07500000000000018,4.33,0.003,0.128,possibly_significant
Being-H0.7: A Latent World-Action Model from Egocentric Videos,4.48,4.48,0.0,4.48,0.003,0.112,not_significant
Chain of World: World Model Thinking in Latent Motion,4.211,4.102,0.10899999999999999,4.102,0.003,0.15,possibly_significant
Device-Conditioned Neural Architecture Search for Efficient Robotic Manipulation,3.67,3.72,-0.050000000000000266,3.72,0.003,0.18,negative
Disentangled Robot Learning via Separate Forward and Inverse Dynamics Pretraining,4.51,4.33,0.17999999999999972,4.33,0.003,0.128,certainly_significant
DySL-VLA: Efficient Vision-Language-Action Model Inference via Dynamic-Static Layer-Skipping for Robot Manipulation,2.83,2.85,-0.020000000000000018,2.85,0.003,0.235,negative
EmbodiedMidtrain: Bridging the Gap between Vision-Language Models and Vision-Language-Action Models via Mid-training,3.714,4.142,-0.4280000000000004,4.142,0.003,0.146,negative
FASTER: Rethinking Real-Time Flow VLAs,4.292,4.313,-0.020999999999999908,4.313,0.003,0.13,negative
From Video to Control: A Survey of Learning Manipulation Interfaces from Temporal Visual Data,4.33,4.33,0.0,4.33,0.003,0.128,not_significant
Future Optical Flow Prediction Improves Robot Control & Video Generation,4.48,4.44,0.040000000000000036,4.44,0.003,0.117,possibly_significant
Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,4.45,4.29,0.16000000000000014,4.29,0.003,0.132,certainly_significant
Green-VLA: Staged Vision-Language-Action Model for Generalist Robots,4.63,4.53,0.09999999999999964,4.53,0.003,0.107,possibly_significant
HELM: Harness-Enhanced Long-horizon Memory for Vision-Language-Action Manipulation,3.58,3.41,0.16999999999999993,3.41,0.003,0.201,possibly_significant
Learning Diffusion Policy from Primitive Skills for Robot Manipulation,4.49,3.92,0.5700000000000003,3.92,0.003,0.165,certainly_significant
MMaDA-VLA: Large Diffusion Vision-Language-Action Model with Unified Multi-Modal Instruction and Generation,4.78,4.44,0.33999999999999986,4.44,0.003,0.117,certainly_significant
MultihopSpatial: Multi-hop Compositional Spatial Reasoning Benchmark for Vision-Language Model,3.98,3.75,0.22999999999999998,3.75,0.003,0.178,certainly_significant
Neural Implicit Action Fields: From Discrete Waypoints to Continuous Functions for Vision-Language-Action Models,4.47,4.44,0.02999999999999936,4.44,0.003,0.117,possibly_significant
NS-VLA: Towards Neuro-Symbolic Vision-Language-Action Models,4.72,4.5,0.21999999999999975,4.5,0.003,0.11,certainly_significant
"OmniStream: Mastering Perception, Reconstruction and Action in Continuous Streams",3.885,4.057,-0.1720000000000006,4.057,0.003,0.153,negative
ProgressVLA: Progress-Guided Diffusion Policy for Vision-Language Robotic Manipulation,3.73,4.04,-0.31000000000000005,4.04,0.003,0.155,negative
Recurrent-Depth VLA: Implicit Test-Time Compute Scaling of Vision-Language-Action Models via Latent Iterative Reasoning,3.39,3.27,0.1200000000000001,3.27,0.003,0.21,possibly_significant
Rethinking the Practicality of Vision-language-action Model: A Comprehensive Benchmark and An Improved Baseline,3.68,3.42,0.26000000000000023,3.42,0.003,0.2,certainly_significant
RoboAlign: Learning Test-Time Reasoning for Language-Action Alignment in Vision-Language-Action Models,2.57,2.32,0.25,2.32,0.003,0.258,possibly_significant
S-VAM: Shortcut Video-Action Model by Self-Distilling Geometric and Semantic Foresight,4.16,4.08,0.08000000000000007,4.08,0.003,0.151,possibly_significant
